Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
2017-08-17 00:00:00,301.13,307.96,298.0,307.96,1561.95305,2017-08-17 07:59:59.999,473487.6651185,711,1260.38649,382097.1599312
2017-08-17 08:00:00,307.95,312.0,303.56,307.06,3059.76355,2017-08-17 15:59:59.999,943190.2482919,1915,2835.99527,874214.7427028
2017-08-17 16:00:00,307.74,312.18,298.21,302.0,2408.99374,2017-08-17 23:59:59.999,737977.3869462,1896,2128.20823,652393.4658962
2017-08-18 00:00:00,302.0,309.49,295.19,306.24,3423.10935,2017-08-18 07:59:59.999,1037794.6740113,2027,2853.40781,865098.8075537
2017-08-18 08:00:00,306.24,311.79,296.32,298.8,2572.00754,2017-08-18 15:59:59.999,785115.7098849,1766,2228.72248,680279.1850858
2017-08-18 16:00:00,298.8,301.11,283.94,293.96,3542.72957,2017-08-18 23:59:59.999,1036036.1254577,1865,2370.30513,695435.2685869
2017-08-19 00:00:00,293.31,299.9,287.01,290.16,517.48507,2017-08-19 07:59:59.999,152143.9381201,573,334.29241,98299.0270416
2017-08-19 08:00:00,290.16,293.17,278.0,288.64,1427.33039,2017-08-19 15:59:59.999,409342.0061284,954,1081.41223,310784.0275281
2017-08-19 16:00:00,288.64,295.0,284.16,290.91,201.38227,2017-08-19 23:59:59.999,58536.6456132,268,122.27086,35630.5576389
2017-08-20 00:00:00,289.41,295.56,285.39,292.08,320.6632,2017-08-20 07:59:59.999,93295.641057,467,238.69059,69548.7198984
2017-08-20 08:00:00,293.02,296.92,282.85,295.1,308.12438,2017-08-20 15:59:59.999,89892.3106712,349,261.15341,76164.5657455
2017-08-20 16:00:00,295.1,300.53,293.28,299.1,1881.35113,2017-08-20 23:59:59.999,559659.9428317,1222,1686.84339,501792.7763766
2017-08-21 00:00:00,299.1,329.49,294.6,318.5,1612.37708,2017-08-21 07:59:59.999,492162.1325195,1564,1247.25916,380128.4199831
2017-08-21 08:00:00,317.48,346.52,312.6,334.94,1434.81711,2017-08-21 15:59:59.999,478506.2901385,1161,1181.25068,395053.3892063
2017-08-21 16:00:00,334.34,342.72,316.12,323.29,2172.25123,2017-08-21 23:59:59.999,718803.918556,1200,1575.68983,522795.6139248
2017-08-22 00:00:00,321.04,330.41,144.21,300.35,1517.08773,2017-08-22 07:59:59.999,467984.0839545,1498,980.84908,300769.3365431
2017-08-22 08:00:00,300.35,313.16,296.0,308.39,3932.95565,2017-08-22 15:59:59.999,1206310.2890902,3094,2488.09666,762098.0794164
2017-08-22 16:00:00,305.08,320.76,305.08,309.8,2506.3075,2017-08-22 23:59:59.999,780131.430269,1985,964.83558,301605.0723735
2017-08-23 00:00:00,312.25,324.99,309.41,319.06,2464.39668,2017-08-23 07:59:59.999,781991.4164795,2093,913.87193,290861.0042447
2017-08-23 08:00:00,319.06,324.51,313.75,319.2,3392.25962,2017-08-23 15:59:59.999,1079678.787585,3626,683.61073,218698.738638
2017-08-23 16:00:00,317.87,322.34,312.05,315.74,2809.06939,2017-08-23 23:59:59.999,891794.7409763,2821,684.75367,218647.1747322
2017-08-24 00:00:00,315.74,322.36,314.01,318.54,2135.2499,2017-08-24 07:59:59.999,677087.8660284,1807,652.13544,208016.9860136
2017-08-24 08:00:00,318.54,328.04,316.14,321.2,2808.55165,2017-08-24 15:59:59.999,899349.9480057,2982,780.99035,251248.6998293
2017-08-24 16:00:00,323.67,326.33,318.97,323.42,1809.47037,2017-08-24 23:59:59.999,582979.3001196,1706,468.7745,151663.461325
2017-08-25 00:00:00,323.42,335.0,323.42,330.29,2522.45542,2017-08-25 07:59:59.999,828303.88263,2568,778.03277,255694.3015315
2017-08-25 08:00:00,330.29,335.41,327.4,333.15,3160.60404,2017-08-25 15:59:59.999,1048415.4235699,3480,1583.53083,525839.9116743
2017-08-25 16:00:00,335.29,338.28,324.9,327.24,1442.91016,2017-08-25 23:59:59.999,477442.7320941,1404,234.26201,77780.4703126
2017-08-26 00:00:00,327.24,332.27,323.41,327.9,1640.27651,2017-08-26 07:59:59.999,535097.6634119,1421,246.69135,80916.3767258
2017-08-26 08:00:00,328.45,335.44,324.06,327.0,1797.12582,2017-08-26 15:59:59.999,590936.8691212,1463,429.65948,141921.8774674
2017-08-26 16:00:00,327.01,334.17,326.7,330.79,1440.28288,2017-08-26 23:59:59.999,475959.8447835,1516,265.64572,88294.0089071
2017-08-27 00:00:00,332.18,338.29,330.79,332.77,1745.78914,2017-08-27 07:59:59.999,583266.1075034,1888,522.15748,174936.2212932
2017-08-27 08:00:00,332.77,338.42,330.73,334.67,1522.7922,2017-08-27 15:59:59.999,509047.8766434,1797,395.81919,133033.3651556
2017-08-27 16:00:00,335.04,348.13,332.97,348.13,1366.85581,2017-08-27 23:59:59.999,462163.3740135,1288,248.22362,84160.5287498
2017-08-28 00:00:00,348.11,351.0,331.95,338.77,1880.58326,2017-08-28 07:59:59.999,641929.3769488,1940,469.34175,161575.3871577
2017-08-28 08:00:00,340.89,347.41,336.54,341.83,1223.34279,2017-08-28 15:59:59.999,417499.9781705,1375,289.40787,99172.3784905
2017-08-28 16:00:00,341.83,348.5,340.49,346.0,1175.25565,2017-08-28 23:59:59.999,404328.8139848,1211,355.51317,122726.2232621
2017-08-29 00:00:00,347.0,360.79,346.0,354.18,658.47296,2017-08-29 07:59:59.999,232980.5604766,887,332.53529,117924.3240033
2017-08-29 08:00:00,354.17,367.4,354.01,364.57,1201.39598,2017-08-29 15:59:59.999,435361.8637581,1259,320.76252,116517.0726829
2017-08-29 16:00:00,365.74,377.6,362.79,374.7,1172.26531,2017-08-29 23:59:59.999,433727.1963462,1119,269.87003,100327.4137831
2017-08-30 00:00:00,374.7,393.71,367.37,378.14,796.73725,2017-08-30 07:59:59.999,302082.0201075,1041,285.52588,108520.6339424
2017-08-30 08:00:00,378.16,385.33,362.05,379.38,2377.43306,2017-08-30 15:59:59.999,888708.2991388,2470,572.63445,214936.844925
2017-08-30 16:00:00,379.38,389.8,378.72,385.93,1272.42577,2017-08-30 23:59:59.999,488735.8932652,1301,427.21766,164380.2658903
2017-08-31 00:00:00,384.64,385.94,377.78,383.14,1159.07669,2017-08-31 07:59:59.999,443134.3982945,1278,436.32538,166922.6302817
2017-08-31 08:00:00,381.89,389.36,378.85,383.76,1693.64804,2017-08-31 15:59:59.999,651153.3363463,1712,592.69213,228231.7344858
2017-08-31 16:00:00,384.38,388.25,383.13,384.79,1583.14382,2017-08-31 23:59:59.999,610153.6596258,1584,403.1763,155654.2461165
2017-09-01 00:00:00,386.44,394.39,383.18,388.4,1506.5417,2017-09-01 07:59:59.999,586312.7159738,1367,542.34511,211088.5416835
2017-09-01 08:00:00,389.48,393.08,385.88,387.01,1693.04134,2017-09-01 15:59:59.999,659577.731496,1561,582.09379,226953.5665447
2017-09-01 16:00:00,387.91,394.02,386.05,388.46,999.1013,2017-09-01 23:59:59.999,389337.1662963,1196,439.61641,171588.8415431
2017-09-02 00:00:00,388.58,394.32,347.0,363.7,2822.9734,2017-09-02 07:59:59.999,1046206.8306467,3055,859.8862,318962.7530678
2017-09-02 08:00:00,364.83,364.84,327.09,341.72,2865.42558,2017-09-02 15:59:59.999,1002301.5643488,2562,845.13564,295428.6533324
2017-09-02 16:00:00,341.72,345.27,320.08,343.14,2551.92826,2017-09-02 23:59:59.999,855500.0663906,2600,755.64592,254095.8769917
